Key,en,zh-Hant,ja,ko,fr,hu,es,zh-Hans,de,ru
MainMenu.Editor.TintColor,TintColor,色調顏色,色合い,색조색상,TeinteCouleur,TintColor,TintedeColor,浅色,Tönungsfarbe,ОттенокЦвет
MainMenu.Editor.TintBlackColor,TintBlackColor,淡黑色,黒の色合い,색조검정색,TeinteNoirCouleur,TintBlackColor,TinteColorNegro,深色,Dunkle Tönungsfarbe,ОттенокЧерныйЦвет
MainMenu.Editor.LICENSE,LICENSE,執照,ライセンス,특허,LICENCE,ENGEDÉLY,LICENCIA,使用条款,LIZENZ,ЛИЦЕНЗИЯ
MainMenu.Editor.AssetTypeAA,Default Assets,預設資產,標準アセット,기본 자산,Actifs par défaut,Alapértelmezett eszközök,Texturas Predeterminadas,内置模型,Standard-Assets,Активы по умолчанию
MainMenu.Editor.AssetTypeSA,Third-Party Assets,第三方資產,外部アセット,제3자 자산,Actifs de tiers,Harmadik féltől származó eszközök,Texturas de Terceros,第三方模型,Drittanbieter-Assets,Сторонние активы
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,名稱不能為空。,名前は空にできません,이름은 비워둘 수 없습니다.,Le nom ne peut pas être vide.,A név nem lehet üres.,El nombre no puede estar vacío.,角色名不得为空。,Der Name darf nicht leer sein.,Имя не может быть пустым.
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,名稱不能超過 {0} 個字元。,名前は{0}文字以内で入力してください,이름은 {0}자를 초과할 수 없습니다.,Le nom ne peut pas dépasser {0} caractères.,A név nem haladhatja meg a {0} karaktert.,El nombre no puede exceder los {0} caracteres.,角色名不得超过{0}个字符。,Der Name darf nicht länger als {0} Zeichen sein.,Имя не может превышать {0} символов.
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".",名稱不能包含字元“{0}”。,名前に「{0}」は使用できません,"이름에는 ""{0}"" 문자가 포함될 수 없습니다.","Le nom ne peut pas contenir le caractère ""{0}"".","A név nem tartalmazhatja a ""{0}"" karaktert.","El nombre no puede contener el carácter ""{0}"".",角色名不得包含特殊字符“{0}”。,Der Name darf das Zeichen „{0}“ nicht enthalten.,Имя не может содержать символ «{0}».
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.",“{0}”是保留名稱，不能使用。,「{0}」は予約済みキーワードのため使用できません,"""{0}""은(는) 예약된 이름이므로 사용할 수 없습니다.","""{0}"" est un nom réservé et ne peut pas être utilisé.","""{0}"" egy lefoglalt név, és nem használható.","""{0}"" es un nombre reservado y no se puede utilizar.",“{0}”是系统保留关键词，不能作为角色名。,„{0}“ ist ein reservierter Name und kann nicht verwendet werden.,"«{0}» — зарезервированное имя, и его нельзя использовать."
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,名稱不能以點結尾。,名前をドットで終えることはできません,이름은 점으로 끝날 수 없습니다.,Le nom ne peut pas se terminer par un point.,A név nem végződhet ponttal.,El nombre no puede terminar con un punto.,角色名不能以点结尾。,Der Name darf nicht mit einem Punkt enden.,Имя не может заканчиваться точкой.
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,名稱不能僅包含空格。,名前を空白のみにはできません,이름에는 공백만 포함할 수 없습니다.,Le nom ne peut pas contenir uniquement des espaces.,A név nem tartalmazhat csak szóközt.,El nombre no puede contener solo espacios.,角色名不能只包含空格。,Der Name darf nicht nur Leerzeichen enthalten.,Имя не может содержать только пробелы.
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,卸載目前模型,モデルの読み込みを解除,현재 모델 언로드,Décharger le modèle actuel,Töltse ki az aktuális modellt,Dejar de usar modelo actual,关闭当前模型,Aktuelles Modell entladen,Выгрузить текущую модель
MainMenu.Settings.GeneralSettings,General Settings,常規設定,一般設定,일반 설정,Paramètres généraux,Általános beállítások,Configuraciones generales,一般设置,Allgemeine Einstellungen,Общие настройки
MainMenu.Settings.GeneralSettings.Language,Language,語言,言語,언어,Langue,Nyelv,Idioma,语言,Sprache,Язык
MainMenu.Settings.ViewportSettings,Viewport Settings,視窗設定,ビューポート設定,뷰포트 설정,Paramètres de la fenêtre,Nézetablak beállításai,Configuración de la ventana gráfica,视窗设置,Vorschau-Einstellungen,Настройки видового экрана
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,變焦速度,ズーム速度,줌 속도,Vitesse de zoom,Zoom Speed,Velocidad de zoom,模型缩放速度,Zoomgeschwindigkeit,Скорость масштабирования
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,轉速,回転速度,회전 속도,Vitesse de rotation,Forgási sebesség,Velocidad de rotación,模型旋转速度,Rotationsgeschwindigkeit,Скорость вращения
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,模型比例,モデルスケール,모델 규모,Échelle du modèle,Modell skála,Escala del model,模型尺寸,Modellmaßstab,Масштаб модели
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,水平偏移,水平オフセット,수평 오프셋,Décalage horizontal,Eltolás Vízszintes,Desplazamiento horizontal,位置水平偏移,Horizontaler Versatz,Смещение по горизонтали
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,垂直偏移,垂直オフセット,오프셋 수직,Décalage vertical,Függőleges eltolás,Desplazamiento vertical,位置垂直偏移,Vertikaler Versatz,Смещение по вертикали
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,重置視口設定,ビューポート設定をリセット,뷰포트 설정 재설정,Réinitialiser les paramètres de la fenêtre,Állítsa vissza a nézetablak beállításokat,Restablecer la configuración de la ventana gráfica,重置视窗设置,Vorschau-Einstellungen zurücksetzen,Сбросить настройки видового экрана
MainMenu.Settings.ExportSettings,Animation Export Settings,動畫匯出設定,アニメーション書き出し設定,애니메이션 내보내기 설정,Paramètres d'exportation d'animations,Animáció exportálási beállításai,Configuración de exportación de animación,动画输出设置,Animationsexport-Einstellungen,Настройки экспорта анимации
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,儲存位置,保存先,위치 저장,Enregistrer l'emplacement,Hely mentése,Ubicación de guardado,保存位置,Speicherort,Сохранить местоположение
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,導出預設,書き出しプリセット,사전 설정 내보내기,Exporter les préréglages,Előbeállítások exportálása,Exportar ajustes preestablecidos,输出预置,Export-Voreinstellungen,Экспорт пресетов
MainMenu.Settings.ExportSettings.Encoder,Encoder,編碼器,エンコーダー,인코더,Encodeur,Kódoló,Codificador,编码器,Encoder,Кодер
MainMenu.Settings.ExportSettings.Width,Width,寬度,幅,너비,Largeur,Szélesség,Ancho,宽度,Breite,Ширина
MainMenu.Settings.ExportSettings.Height,Height,高度,高さ,키,Hauteur,Magasság,Altura,高度,Höhe,Высота
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,帧率,FPS,ФПС
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,限制最大值幀數,最大フレーム数を制限,최대 한도 프레임 수,Limite Max. Nombre d'images,Limit Max. Képkockaszám,Límite máximo de conteo de fotogramas,限制最大帧数,Max. Frame-Anzahl begrenzen,Ограничение Макс. Количество кадров
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,最大限度。幀數,最大フレーム数,최대. 프레임 수,Max. Nombre d'images,Max. Képkockaszám,Conteo máximo de fotogramas,最大帧数,Max. Frame-Anzahl,Макс. Количество кадров
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,阿爾法閾值,アルファしきい値,알파 임계값,Seuil alpha,Alfa-küszöb,Umbral alfa,透明阈值,Alpha-Schwelle,Альфа-порог
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,啟用抖動,ディザリングを有効化,디더링 활성화,Activer le tramage,Dithering engedélyezése,Habilitar tramado,使用颜色抖动,Dithering aktivieren,Включить сглаживание
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,重置導出設定,書き出し設定をリセット,내보내기 설정 재설정,Réinitialiser les paramètres d'exportation,Állítsa vissza az exportálási beállításokat,Restablecer configuración de exportación,重置输出设置,Exporteinstellungen zurücksetzen,Сбросить настройки экспорта
MainMenu.Editor.Export,Export Emote,導出表情,エモートを書き出し,감정 표현 내보내기,Exporter une émoticône,Export Emote,Exportar emote,导出动画,Emote exportieren,Экспортировать эмоцию
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,由模型創建者提供的許可。僅供參考，不代表EmoteLab開發者的觀點或法律立場。,ライセンスはモデル制作者が提供したものです。参考情報として表示されており、EmoteLab開発者の見解や法的立場を示すものではありません。,모델 작성자가 제공하는 라이선스입니다. 참고용으로만 표시되며 EmoteLab 개발자의 견해나 법적 입장을 나타내지 않습니다.,Licence fournie par le créateur du modèle. Affiché à titre de référence uniquement et ne représente pas les opinions ou la position juridique du développeur EmoteLab.,"A modell készítője által biztosított licenc. Csak referenciaként jelenik meg, és nem képviseli az EmoteLab fejlesztő nézeteit vagy jogi álláspontját.",Licencia proporcionada por el creador del modelo. Se muestra solo como referencia y no representa las opiniones ni la posición legal del desarrollador de EmoteLab.,许可信息由模型作者提供。仅作展示，不代表 EmoteLab 开发者立场。,Lizenz vom Modellersteller bereitgestellt. Wird nur als Referenz angezeigt und gibt nicht die Ansichten oder Rechtsposition des EmoteLab-Entwicklers wieder.,Лицензия предоставлена ​​создателем модели. Отображается только для справки и не отражает точку зрения или правовую позицию разработчика EmoteLab.
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",未找到許可證。與創建者確認允許的使用。,ライセンスが見つかりません。使用許可は制作者に確認してください。,라이센스를 찾을 수 없습니다. 제작자에게 허용된 사용을 확인하세요.,Licence introuvable. Confirmez l'utilisation autorisée auprès du créateur.,Az engedély nem található. Az engedélyezett felhasználás megerősítése az alkotóval.,Licencia no encontrada. Confirmar el uso permitido con el creador.,该第三方模型的作者未随模型提供许可协议或使用说明。在将该模型用于公开、商业或专业场景前，建议您自行与模型作者确认其允许的使用范围。,Lizenz nicht gefunden. Bestätige die erlaubte Nutzung mit dem Ersteller.,Лицензия не найдена. Подтвердите разрешенное использование у создателя.
LicensePopup.Close,Close,關閉,閉じる,닫다,Fermer,Közeli,Cerrar,关闭,Schließen,Закрывать
MainMenu.Editor.OpenExportFolder,Open Export Folder,打開匯出資料夾,書き出しフォルダを開く,내보내기 폴더 열기,Ouvrir le dossier d'exportation,Nyissa meg az Exportálás mappát,Abrir carpeta de exportación,打开输出文件夹,Exportordner öffnen,Открыть папку экспорта
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,載入內建模型的範例字符,組み込みモデルのサンプルキャラクターを読み込む,내장 모델의 샘플 문자 로드,Charger des exemples de caractères pour les modèles intégrés,Töltsön be mintakaraktereket a beépített modellekhez,Cargar modelos de prueba para modelos integrados,加载内置模型角色示例,Beispiel-Charaktere für integrierte Modelle laden,Загрузка образцов символов для встроенных моделей
MainMenu.Settings.ModelSettings,Model Settings,模型設定,モデル設定,모델 설정,Paramètres du modèle,Modell beállításai,Configuración del modelo,模型设置,Modelleinstellungen,Настройки модели
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,正在儲存角色資料...,キャラクターデータを保存中…,캐릭터 데이터를 저장하는 중...,Enregistrement des données de personnage...,Karakteradatok mentése...,Guardando datos de personaje…,保存角色数据,Charakterdaten werden gespeichert...,Сохранение данных персонажа...
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,正在載入角色...,キャラクターを読み込み中…,캐릭터 로딩중...,Chargement du personnage...,Karakter betöltése...,Cargando personaje...,加载角色,Charakter wird geladen...,Загрузка персонажа...
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,第三方許可證,外部ライセンス,제3자 라이센스,Licences tierces,Harmadik fél licencei,Licencias de terceros,第三方授权许可,Lizenzen Dritter,Лицензии третьих лиц
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),最終用戶許可協議 (EULA),エンドユーザーライセンス契約（EULA）,최종 사용자 라이센스 계약(EULA),Contrat de licence utilisateur final (CLUF),Végfelhasználói licencszerződés (EULA),Acuerdo de licencia de usuario final (EULA),最终用户许可协议（EULA）,Endbenutzer-Lizenzvereinbarung (EULA),Лицензионное соглашение с конечным пользователем (EULA)
MainMenu.Info.Documentation,Documentation,文件,ドキュメント,선적 서류 비치,Documentation,Dokumentáció,Documentación,帮助文档,Dokumentation,Документация
MainMenu.Info.Discord,Join Our Discord,加入我們的不和諧,Discordに参加,우리의 불화에 동참하세요,Rejoignez notre Discord,Csatlakozz Discordunkhoz,Únete a nuestro Discord,加入我们的Discord,Tritt unserem Discord bei,Присоединяйтесь к нашему дискорду
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",此預設設定正確的格式和尺寸。很長的動畫可能會超出平台檔案大小限制，並且某些平台會限制某些內容。,このプリセットは適切な形式とサイズを設定します。非常に長いアニメーションはプラットフォームのファイルサイズ制限を超える場合があります。また、一部のプラットフォームでは特定のコンテンツが制限される場合があります。,이 사전 설정은 올바른 형식과 크기를 설정합니다. 매우 긴 애니메이션은 플랫폼 파일 크기 제한을 초과할 수 있으며 일부 플랫폼에서는 특정 콘텐츠를 제한합니다.,"Ce préréglage définit le format et les dimensions corrects. Les animations très longues peuvent dépasser les limites de taille de fichier de la plateforme, et certaines plateformes restreignent certains contenus.","Ez az előbeállítás beállítja a megfelelő formátumot és méreteket. A nagyon hosszú animációk meghaladhatják a platform fájlméret-korlátait, és egyes platformok korlátoznak bizonyos tartalmakat.",Este ajuste preestablecido establece el formato y las dimensiones correctos. Las animaciones muy largas pueden exceder los límites de tamaño o de archivo de la plataforma y algunas plataformas restringen cierto contenido.,此预设会设置正确的格式和尺寸。过长的动画可能会超出平台文件大小限制，某些内容可能不被特定平台允许。,Diese Voreinstellung legt das richtige Format und die richtigen Abmessungen fest. Sehr lange Animationen können die Dateigrößenbeschränkungen der Plattform überschreiten und einige Plattformen schränken bestimmte Inhalte ein.,"Этот пресет устанавливает правильный формат и размеры. Очень длинные анимации могут превышать ограничения размера файла платформы, а некоторые платформы ограничивают определенный контент."
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,打開本地模型資料夾,ローカルモデルフォルダを開く,로컬 모델 폴더 열기,Ouvrir le dossier de modèle local,Nyissa meg a Helyi Modell mappát,Abrir carpeta de modelo local,打开本地模型文件夹,Lokalen Modellordner öffnen,Открыть локальную папку модели
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,打開角色資料夾,キャラクターフォルダを開く,캐릭터 폴더 열기,Ouvrir le dossier des personnages,Nyissa meg a Karakter mappát,Abrir carpeta de personajes,打开角色文件夹,Charakterordner öffnen,Открыть папку персонажей
MainMenu.Info.Log,Open Log Folder,打開日誌資料夾,ログフォルダを開く,로그 폴더 열기,Ouvrir le dossier de journal,Nyissa meg a Napló mappát,Abrir carpeta de registro,打开程序运行日志,Protokollordner öffnen,Открыть папку журнала
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,使用全域色表,グローバルカラーテーブルを使用,전역 색상표 사용,Utilisation de la table de couleurs globale,Globális színtábla használata,Usando tabla de colores globales,使用全局颜色表,Verwendung der globalen Farbtabelle,Использование глобальной таблицы цветов
MainMenu.Editor.ExportStatic,Export Static Image,導出靜態影像,静止画像を書き出し,정적 이미지 내보내기,Exporter une image statique,Statikus kép exportálása,Exportar imagen estática,导出静态图片,Statisches Bild exportieren,Экспорт статического изображения
MainMenu.Editor.Player.Speed,Speed,速度,速度,속도,Vitesse,Sebesség,Velocidad,播放速度,Geschwindigkeit,Скорость
MainMenu.Settings.StaticImageSettings,Static Image Settings,靜態影像設定,静止画設定,정적 이미지 설정,Paramètres d'image statique,Statikus képbeállítások,Configuración de imagen estática,静态图片输出设置,Statische Bildeinstellungen,Настройки статического изображения
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,重置靜態影像設定,静止画設定をリセット,정적 이미지 설정 재설정,Réinitialiser les paramètres d'image statique,Állítsa vissza a statikus képbeállításokat,Restablecer configuración de imagen estática,重置静态图片输出设置,Statische Bildeinstellungen zurücksetzen,Сбросить настройки статического изображения
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,取樣率,サンプリングレート,샘플링 속도,Taux d'échantillonnage,Mintavételi sebesség,Tasa de muestreo,取样频率,Abtastrate,Частота выборки
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,此切換可讓您在內部紋理和自訂紋理之間切換,この操作で初期テクスチャとカスタムテクスチャを切り替えられます,이 토글을 사용하면 내부 텍스처와 사용자 정의 텍스처 사이를 전환할 수 있습니다.,Cette bascule vous permet de basculer entre la texture interne et la texture personnalisée,Ezzel a kapcsolóval válthat a belső és az egyéni textúra között,Este interruptor le permite cambiar entre la textura interna y la personalizada.,这个选项允许您在内置贴图和自定义贴图间切换。,Mit diesem Schalter kannst du zwischen der internen und der benutzerdefinierten Textur wechseln,Этот переключатель позволяет переключаться между внутренней и пользовательской текстурой.
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,編輯自訂紋理資料夾中的 PNG。以透明度儲存且不修改圖片大小,Custom Textureフォルダ内のPNGを編集してください。透過状態で保存し、画像サイズは変更しないでください,Custom Texture 폴더에서 PNG를 편집합니다. 투명하게 저장하고 이미지 크기를 수정하지 마세요.,Modifiez les fichiers PNG dans le dossier Texture personnalisée. Enregistrez avec transparence et ne modifiez pas la taille de l'image,"Szerkessze a PNG-ket az Egyéni textúra mappában. Mentse átlátszósággal, és ne módosítsa a képméretet",Edita los PNG en la carpeta Textura personalizada. Guarda con transparencia y no modifiques el tamaño de la imagen.,编辑自定义贴图文件夹中的PNG图像，保留透明度保存且不要改变尺寸。,Bearbeite die PNGs im Ordner „Custom Texture“. Speichere mit Transparenz und ändere die Bildgröße nicht,Отредактируйте PNG в папке «Пользовательская текстура». Сохраняйте с прозрачностью и не изменяйте размер изображения.
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",儲存編輯後，點擊此按鈕將變更套用到您的模型。,編集を保存した後、このボタンを押すとモデルに変更が適用されます,편집 내용을 저장한 후 이 버튼을 클릭하면 모델에 변경 사항이 적용됩니다.,"Après avoir enregistré vos modifications, cliquez sur ce bouton pour appliquer les modifications à votre modèle.","A módosítások mentése után kattintson erre a gombra, hogy alkalmazza a módosításokat a modellen.","Después de guardar tus cambios, presiona este botón para aplicar los cambios a tu modelo.",编辑完成后，点击此按钮应用修改。,"Nachdem du deine Änderungen gespeichert hast, klicke auf diesen Knopf, um die Änderungen auf dein Modell anzuwenden.","После сохранения изменений нажмите эту кнопку, чтобы применить изменения к вашей модели."
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,保存你的角色。儲存按鈕位於介面左側角色清單下方。,キャラクターを保存してください。保存ボタンは画面左側のキャラクターリストの下にあります,캐릭터를 저장하세요. 저장 버튼은 인터페이스 왼쪽의 캐릭터 목록 아래에 있습니다.,Enregistrez votre personnage. Le bouton Enregistrer est situé sous la liste des personnages sur le côté gauche de l'interface.,Mentsd meg a karaktered. A mentés gomb a karakterlista alatt található a felület bal oldalán.,Guarda tu personaje. El botón para guardar se encuentra debajo de la lista de personajes en el lado izquierdo de la interfaz.,保存您的角色。保存按钮在左侧角色列表下方。,"Speichere deinen Charakter. Der ""Speichern""-Knopf befindet sich unterhalb der Charakterliste auf der linken Seite der Oberfläche.",Сохраните своего персонажа. Кнопка сохранения расположена под списком персонажей в левой части интерфейса.
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,在使用此功能之前，請先閱讀使用自訂紋理手冊。,この機能を使用する前に「カスタムテクスチャの使用」マニュアルを確認してください,이 기능을 사용하기 전에 사용자 정의 텍스처 사용 매뉴얼을 읽어보십시오.,Veuillez lire le manuel Utilisation de textures personnalisées avant d'utiliser cette fonctionnalité.,"Kérjük, olvassa el az Egyéni textúrák használata kézikönyvet a funkció használata előtt.",Por favor lee el manual para usar texturas personalizadas antes de utilizar esta función.,请在使用前完整阅读手册使用自定义贴图章节。,"Bitte lies das Handbuch „Verwenden benutzerdefinierter Texturen“, bevor du diese Funktion verwendest.",Перед использованием этой функции прочтите руководство «Использование пользовательских текстур».
MainMenu.Editor.Texture.CustomTexture,Custom Texture,自訂紋理,カスタムテクスチャ,사용자 정의 텍스처,Texture personnalisée,Egyedi textúra,Textura personalizada,自定义贴图,Benutzerdefinierte Textur,Пользовательская текстура
MainMenu.Editor.Texture.Step1,Step 1,步驟1,ステップ1,1단계,Étape 1,1. lépés,Paso 1,第一步,Schritt 1,Шаг 1
MainMenu.Editor.Texture.Step2,Step 2,步驟2,ステップ2,2단계,Étape 2,2. lépés,Paso 2,第二步,Schritt 2,Шаг 2
MainMenu.Editor.Texture.Step3,Step 3,步驟3,ステップ3,3단계,Étape 3,3. lépés,Paso 3,第三步,Schritt 3,Шаг 3
MainMenu.Editor.Texture.Step4,Step 4,步驟4,ステップ4,4단계,Étape 4,4. lépés,Paso 4,第四步,Schritt 4,Шаг 4
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,修復選定的輪廓,選択した輪郭を修正,선택한 윤곽선 수정,Corriger le contour sélectionné,Javítsa ki a kiválasztott körvonalat,Corregir el contorno seleccionado,修复选中图集部件边缘,Ausgewählte Kontur korrigieren,Исправить выбранный контур
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,重置選定的圖集,選択したアトラスをリセット,선택한 아틀라스 재설정,Réinitialiser l'Atlas sélectionné,Állítsa vissza a kiválasztott atlaszt,Corregir el atlas seleccionado,重置选中图集,Ausgewählten Atlas zurücksetzen,Сбросить выбранный атлас
MainMenu.Editor.Texture.TextureUtility,Texture Utility,紋理實用程式,テクスチャツール,텍스처 유틸리티,Utilitaire de textures,Texture Utility,Utilidad de texturas,贴图工具,Textur-Werkzeug,Утилита текстур
