GroupName,DisplayName,en,zh-Hant,ja,ko,fr,hu,es,zh-Hans,de,ru
BeverageLiquid,Beverage Liquid,Beverage Liquid,飲料液,飲み物,음료수 액체,Boisson liquide,Folyékony ital,Líquido del vaso,饮料杯 液体,Becherflüssigkeit,жидкость для напитков
BeverageLiquid2,Beverage Liquid 2,Beverage Liquid 2,飲料液2,飲み物2,음료수 2,Boisson liquide 2,Folyékony ital 2,Líquido del vaso 2,饮料杯 液体 2,Becherflüssigkeit 2,Жидкость для напитков 2
Bill,Bill,Bill,帳單,紙幣,청구서,Facture,Számla,Billetes,钞票,Schnabel,Счет
BlanketInner,Blanket Inner,Blanket Inner,毛毯內層,ブランケット内側,담요 내부,Couverture intérieure,Belső takaró,Manta interior,被子 里侧,Decke innen,Одеяло внутреннее
BlanketOutter,Blanket Outter,Blanket Outter,毛毯外層,ブランケット外側,담요 외부,Couverture extérieure,Külső takaró,Manta exterior,被子 外侧,Decke außen,Одеяло наружное
Blush,Face Blush,Face Blush,臉紅,頬の赤み,페이스 블러셔,Fard À Joues Pour Le Visage,Arcpirosító,Rubor,脸红,Gesichtsröte,Румяна для лица
BrowLeft,Brow >>,Brow >>,眉毛>>,眉 >>,눈썹 >>,Sourcil >>,Szemöldök >>,Ceja >>,眉毛 >>,Augenbraue >>,Брови >>
BrowRight,Brow <<,Brow <<,眉毛<<,眉 <<,눈썹 <<,Sourcils <<,Szemöldök <<,Ceja <<,眉毛 <<,Augenbraue <<,Брови <<
Chopstick,Chopstick,Chopstick,筷子,お箸,젓가락,Baguette,Pálcika,Palillos,筷子,Stäbchen,Палочки для еды
Crowbar,Crowbar,Crowbar,撬棍,バール,바,Pied de biche,Emelőrúd,Palanca,撬棍,Brecheisen,лом
Cup,Cup,Cup,杯子,カップ,컵,Tasse,Csésze,Taza,咖啡杯,Tasse,Чашка
CupSteam,Cup Steam,Cup Steam,杯蒸,湯気,컵 스팀,Tasse Vapeur,Kupa Steam,Vapor de la taza,咖啡杯 蒸汽,Tasse Dampf,Кубок Паровой
Door,Door/Wall,Door/Wall,門/牆,ドア／壁,문/벽,Porte/Mur,Ajtó/fal,Puerta/Pared,门/墙,Tür/Wand,Дверь/Стена
DumEyePupilLeft,Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,眼睛（啞）瞳孔 >>,ほげ目 瞳 >>,눈(Dum) 눈동자 >>,Oeil (Dum) Pupille >>,Szem(Dum) Pupilla >>,Pupila (tonta) >>,呆眼 瞳孔 >>,Auge(Dum) Pupille >>,Глаз(Дум) Зрачок >>
DumEyePupilRight,Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,眼睛（達姆）瞳孔 <<,ほげ目 瞳 <<,눈(덤) 동공 <<,Oeil(Dum)Pupille <<,Szem(Dum) Pupilla <<,Pupila (tonta) <<,呆眼 瞳孔  <<,Auge(Dum) Pupille <<,Глаз (Дум) Зрачок <<
Eyebag,Eyebag,Eyebag,眼袋,目のクマ,아이백,Poche oculaire,Szemtáska,Ojeras,眼袋,Tränensack,Мешок для глаз
EyeDarkLeft,Eye Iris Dark >>,Eye Iris Dark >>,眼睛虹膜深色>>,虹彩 濃 >>,아이 아이리스 다크 >>,Iris des yeux foncé >>,Szem Iris Sötét >>,Iris Oscuro >>,眼睛 虹膜深色 >>,Augeniris dunkel >>,Глаза Ирис Темные >>
EyeDarkRight,Eye Iris Dark <<,Eye Iris Dark <<,眼睛虹膜深色 <<,虹彩 濃 <<,눈 홍채 다크 <<,Iris des yeux foncé <<,Szem Iris Sötét <<,Iris Oscuro <<,眼睛 虹膜深色 <<,Augeniris dunkel <<,Глаза Радужная оболочка Темные <<
EyeDollar,Eye Dollar,Eye Dollar,眼睛美元,お金の目,아이달러,Dollar pour les yeux,Szem dollár,Ojos de dinero,眼睛 钱,Augendollar,Глаз доллара
EyeHeart,Eye Heart,Eye Heart,眼心,ハート目,아이하트,Oeil Coeur,Szem Szív,Ojos de corazón,眼睛 爱心,Augenherz,Глаз Сердце
EyeHighlight,Eye Highlight,Eye Highlight,眼睛高光,目ハイライト,아이 하이라이트,Point culminant des yeux,Szemkiemelés,Brillo del ojo,眼睛 高光,Augen Highlight,Выделение глаз
Eyelash,Eyelashes,Eyelashes,睫毛,まつげ,속눈썹,Cils,Szempilla,Pestañas,眼睛 睫毛,Wimpern,Ресницы
EyeLightLeft,Eye Iris Light >>,Eye Iris Light >>,眼睛虹膜燈>>,虹彩 淡 >>,눈 홍채 라이트 >>,Lumière de l'iris des yeux >>,Szem írisz fénye >>,Brillo del iris >>,眼睛 虹膜浅色 >>,Augeniris hell >>,Глаза Ирис Светлый >>
EyeLightRight,Eye Iris Light <<,Eye Iris Light <<,眼睛虹膜燈 <<,虹彩 淡 <<,눈 홍채 빛 <<,Lumière de l'iris des yeux <<,Eye Iris Light <<,Brillo del iris <<,眼睛 虹膜浅色 <<,Augeniris hell <<,Глаза Ирис Светлый <<
EyeOutline,Eye(Dum) Outline,Eye(Dum) Outline,眼睛（啞）輪廓,ほげ目 輪郭,눈(Dum) 외곽선,Contour de l'oeil (Dum),Szem(Dum) körvonal,Contorno de ojo (tonto),呆眼 轮廓,Augen(Dum) Umriss,Контур глаза (дум)
EyeSparkling,Eye Sparkling,Eye Sparkling,眼睛閃閃發光,キラキラ目,눈 반짝임,Oeil pétillant,Szem csillogó,Ojos chispeantes,眼睛 星星,Augenfunkeln,Сверкающие глаза
EyeSpiral,Eye Spiral,Eye Spiral,眼睛螺旋,ぐるぐる目,눈 나선형,Spirale des yeux,Szemspirál,Espiral en los ojos,眼睛 圈圈,Augenspirale,Глазная спираль
EyeWhite,Eye White,Eye White,眼白,白目,눈 흰자,Oeil blanc,Szem fehér,Ojo blanco,眼睛 白色部分,Augenweiß,Глаз Белый
FaceShadow,Face Shadow,Face Shadow,臉部陰影,顔影,페이스 섀도우,Ombre à visage,Arcárnyék,Sombra de la cara,脸 阴影,Gesichtsschatten,Тень для лица
FinLeft,Fin >>,Fin >>,鰭>>,ヒレ >>,핀 >>,Aileron >>,Fin >>,Aleta >>,鳍 >>,Flosse >>,Фин >>
FinLeftOutline,Fin >> Outline,Fin >> Outline,翅片 >> 摘要,ヒレ 輪郭 >>,핀 >> 개요,Fin >> Aperçu,Fin >> Vázlat,Aleta >> Contorno,鳍 >> 轮廓,Flosse >> Umriss,Фин >> Схема
FinRight,Fin <<,Fin <<,鰭 <<,ヒレ <<,핀 <<,Fin <<,Fin <<,aleta <<,鳍 <<,Flosse <<,Фин <<
FinRightOutline,Fin << Outline,Fin << Outline,鰭 << 輪廓,ヒレ 輪郭 <<,핀 << 개요,Fin << Aperçu,Fin << Vázlat,Fin << Contorno,鳍 << 轮廓,Flosse << Umriss,Плавник << Схема
FrameHairLeft,Hair Framing >>,Hair Framing >>,頭髮定型>>,顔まわり髪 >>,헤어 프레이밍 >>,Encadrement des cheveux >>,Hajkeretezés >>,Mechón frontal >>,头发 脸颊 >>,Seitensträhnen >>,Оформление волос >>
FrameHairLeftOutline,Hair Framing >> Outline,Hair Framing >> Outline,發框 >> 摘要,顔まわり髪 輪郭 >>,헤어 프레이밍 >> 개요,Encadrement des cheveux >> Aperçu,Hajkeretezés >> Vázlat,Mechón frontal >> Contorno,头发 脸颊 >> 轮廓,Seitensträhnen >> Umriss,Оформление волос >> Схема
FrameHairRight,Hair Framing <<,Hair Framing <<,頭髮框架 <<,顔まわり髪 <<,헤어 프레이밍 <<,Encadrement des cheveux <<,Hajkeretezés <<,Mechón frontal <<,头发 脸颊 <<,Seitensträhnen <<,Оформление волос <<
FrameHairRightOutline,Hair Framing << Outline,Hair Framing << Outline,頭髮框架 << 輪廓,顔まわり髪 輪郭 <<,헤어 프레이밍 << 개요,Encadrement des cheveux << Aperçu,Hajkeretezés << Vázlat,Mechón frontal << Contorno,头发 脸颊 << 轮廓,Seitensträhnen << Umriss,Оформление волос << Схема
Gill,Gill,Gill,鰓,エラ,아가미,Gil,Kopoltyú,Branquia,腮,Kieme,Джилл
GillOutline,Gill Outline,Gill Outline,鰓輪廓,エラ 輪郭,길 외곽선,Aperçu des branchies,Gill vázlat,Contorno de la branquia,腮 轮廓,Kiemen Umriss,Схема Джилла
Glasses,Glasses,Glasses,眼鏡,メガネ,안경,Lunettes,Szemüveg,Anteojos,眼镜,Brille,Очки
HairbandA,Hairband A,Hairband A,髮帶A,ヘアバンドA,헤어밴드A,Bandeau A,Hajpánt A,Diadema A,发带 A,Haarband A,Лента для волос А
HairbandAOutline,Hairband A Outline,Hairband A Outline,髮帶A輪廓,ヘアバンドA 輪郭,헤어밴드A 개요,Bandeau A Contour,Hajpánt Vázlat,Contorno de Diadema A,发带 A 轮廓,Haarband A Umriss,Лента для волос A Outline
HairbandB,Hairband B,Hairband B,髮帶B,ヘアバンドB,헤어밴드B,Bandeau B,Hajpánt B,Diadema B,发带 B,Haarband B,Лента для волос Б
HairbandBOutline,Hairband B Outline,Hairband B Outline,髮帶B輪廓,ヘアバンドB 輪郭,헤어밴드B 개요,Bandeau B Contour,Hajpánt B körvonal,Contorno de Diadema B,发带 B 轮廓,Haarband B Umriss,Лента для волос B. Контур
HairbandC,Hairband C,Hairband C,髮帶C,ヘアバンドC,헤어밴드 C,Bandeau C,Hajpánt C,Diadema C,发带 C,Haarband C,Повязка для волос С
HairbandCOutline,Hairband C Outline,Hairband C Outline,髮帶C輪廓,ヘアバンドC 輪郭,헤어밴드C 개요,Bandeau C Contour,Hajpánt C körvonal,Contorno de Diadema C,发带 C 轮廓,Haarband C Umriss,Лента для волос C. Контур
HairbandD,Hairband D,Hairband D,髮帶D,ヘアバンドD,헤어밴드 D,Bandeau D,Hajpánt D,Diadema D,发带 D,Haarband D,Ободок для волос D
HairbandDOutline,Hairband D Outline,Hairband D Outline,髮帶 D 輪廓,ヘアバンドD 輪郭,헤어밴드D 개요,Bandeau D Contour,Hajpánt D körvonal,Contorno de Diadema D,发带 D 轮廓,Haarband D Umriss,Повязка для волос D Outline
HairBangLeft,Hair Bang >>,Hair Bang >>,發瀏海>>,前髪 >>,헤어뱅 >>,Frange de cheveux >>,Hair Bang >>,Flequillo >>,头发 刘海 >>,Pony >>,Челка >>
HairBangLeftOutline,Hair Bang >> Outline,Hair Bang >> Outline,瀏海 >> 摘要,前髪 輪郭 >>,헤어뱅 >> 개요,Frange de cheveux >> Aperçu,Hair Bang >> Vázlat,Flequillo >> Contorno,头发 刘海 >> 轮廓,Pony >> Umriss,Челка >> Схема
HairBangMiddle,Hair Bang ><,Hair Bang ><,頭髮瀏海><,前髪 中央,헤어뱅 ><,Frange de cheveux ><,Hair Bang ><,Flequillo ><,头发 刘海 ><,Pony ><,Челка для волос ><
HairBangMiddleOutline,Hair Bang >< Outline,Hair Bang >< Outline,瀏海>< 輪廓,前髪 中央 輪郭,헤어뱅 >< 개요,Frange de cheveux >< Aperçu,Hair Bang >< Vázlat,Flequillo >< Contorno,头发 刘海 >< 轮廓,Pony >< Umriss,Челка >< Схема
HairBangRight,Hair Bang <<,Hair Bang <<,頭髮瀏海 <<,前髪 <<,헤어뱅 <<,Frange de cheveux <<,Hair Bang <<,Flequillo <<,头发 刘海 <<,Pony <<,Челка для волос <<
HairBangRightOutline,Hair Bang << Outline,Hair Bang << Outline,瀏海<<大綱,前髪 輪郭 <<,헤어뱅 << 개요,Frange de cheveux << Aperçu,Hair Bang << Vázlat,Flequillo << Contorno,头发 刘海 << 轮廓,Pony << Umriss,Челка << Схема
HairClipLeft,Hair Clip >>,Hair Clip >>,髮夾>>,ヘアクリップ >>,헤어클립 >>,Pince à cheveux >>,Hajcsipesz >>,Pinza para el pelo >>,发夹 >>,Haarspange >>,Заколка для волос >>
HairClipLeftOutline,Hair Clip >> Outline,Hair Clip >> Outline,髮夾 >> 摘要,ヘアクリップ 輪郭 >>,헤어핀 >> 개요,Pince à cheveux >> Aperçu,Hajcsat >> Vázlat,Pinza para el cabello >> Contorno,发夹 >> 轮廓,Haarspange >> Umriss,Заколка для волос >> Схема
HairClipRight,Hair Clip <<,Hair Clip <<,髮夾<<,ヘアクリップ <<,헤어클립 <<,Pince à cheveux <<,Hajcsat <<,Pinza para el pelo <<,发夹 <<,Haarspange <<,Заколка для волос <<
HairClipRightOutline,Hair Clip << Outline,Hair Clip << Outline,髮夾 << 輪廓,ヘアクリップ 輪郭 <<,헤어클립 << 개요,Pince à cheveux << Aperçu,Hajcsat << Vázlat,Pinza para el cabello << Contorno,发夹 << 轮廓,Haarspange << Umriss,Заколка для волос << Схема
HairHighlightLeft1,Hair Highlight 1 >>,Hair Highlight 1 >>,頭髮亮點1 >>,髪ハイライト1 >>,헤어 하이라이트 1 >>,Mèches de cheveux 1 >>,Hajkiemelés 1 >>,Mechas de cabello 1 >>,挑染 1 >> ,Haar Highlight 1 >>,Мелирование волос 1 >>
HairHighlightLeft1Outline,Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,頭髮亮點 1 >> 輪廓,髪ハイライト1 輪郭 >>,헤어 하이라이트 1 >> 개요,Mèches de cheveux 1 >> Aperçu,Hajkiemelés 1 >> Vázlat,Mechas de cabello 1 >> Contorno,挑染 1 >> 轮廓,Haar Highlight 1 >> Umriss,Мелирование волос 1 >> Контур
HairHighlightLeft2,Hair Highlight 2 >>,Hair Highlight 2 >>,頭髮亮點2>>,髪ハイライト2 >>,헤어 하이라이트 2 >>,Mèches de cheveux 2 >>,Hajkiemelés 2 >>,Mechas de cabello 2 >>,挑染 2 >> ,Haar Highlight 2 >>,Мелирование волос 2 >>
HairHighlightLeft2Outline,Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,頭髮亮點 2 >> 輪廓,髪ハイライト2 輪郭 >>,헤어하이라이트2 >> 개요,Mèches capillaires 2 >> Aperçu,Hajkiemelés 2 >> Vázlat,Mechas de cabello 2 >> Contorno,挑染 2 >> 轮廓,Haar Highlight 2 >> Umriss,Мелирование волос 2 >> Контур
HairHighlightLeft3,Hair Highlight 3 >>,Hair Highlight 3 >>,頭髮亮點3>>,髪ハイライト3 >>,헤어 하이라이트 3 >>,Mèches de cheveux 3 >>,Hajkiemelés 3 >>,Mechas de cabello 3 >>,挑染 3 >> ,Haar Highlight 3 >>,Мелирование волос 3 >>
HairHighlightLeft3Outline,Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,頭髮亮點 3 >> 輪廓,髪ハイライト3 輪郭 >>,헤어하이라이트3 >> 개요,Mèches capillaires 3 >> Aperçu,Hajkiemelés 3 >> Vázlat,Mechas de cabello 3 >> Contorno,挑染 3 >> 轮廓,Haar Highlight 3 >> Umriss,Мелирование волос 3 >> Контур
HairHighlightMiddle1,Hair Highlight 1 ><,Hair Highlight 1 ><,頭髮亮點1><,髪ハイライト1 中央,헤어하이라이트 1 ><,Mèches de cheveux 1 ><,Hajkiemelés 1 ><,Mechas de cabello 1 ><,挑染 1 >< ,Haar Highlight 1 ><,Мелирование волос 1 ><
HairHighlightMiddle1Outline,Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,頭髮亮點 1 >< 輪廓,髪ハイライト1 中央 輪郭,헤어하이라이트 1 >< 개요,Mèches de cheveux 1 >< Aperçu,Hajkiemelés 1 >< Vázlat,Mechas de cabello 1 >< Contorno,挑染 1 >< 轮廓,Haar Highlight 1 >< Umriss,Мелирование волос 1 >< Схема
HairHighlightMiddle2,Hair Highlight 2 ><,Hair Highlight 2 ><,頭髮亮點2><,髪ハイライト2 中央,헤어하이라이트 2 ><,Mèches de cheveux 2 ><,Hajkiemelés 2 ><,Mechas de cabello 2 ><,挑染 2 >< ,Haar Highlight 2 ><,Мелирование волос 2 ><
HairHighlightMiddle2Outline,Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,頭髮亮點 2 >< 輪廓,髪ハイライト2 中央 輪郭,헤어하이라이트 2 >< 개요,Mèches de cheveux 2 >< Aperçu,Hajkiemelés 2 >< Vázlat,Mechas de cabello 2 >< Contorno,挑染 2 >< 轮廓,Haar Highlight 2 >< Umriss,Мелирование волос 2 >< Схема
HairHighlightMiddle3,Hair Highlight 3 ><,Hair Highlight 3 ><,頭髮亮點3><,髪ハイライト3 中央,헤어하이라이트 3 ><,Mèches de cheveux 3 ><,Hajkiemelés 3 ><,Destacado del cabello 3 ><,挑染 3 >< ,Haar Highlight 3 ><,Мелирование волос 3 ><
HairHighlightMiddle3Outline,Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,頭髮亮點 3 >< 輪廓,髪ハイライト3 中央 輪郭,헤어하이라이트3 >< 개요,Mèches de cheveux 3 >< Aperçu,Hajkiemelés 3 >< Vázlat,Mechas de cabello 3 >< Contorno,挑染 3 >< 轮廓,Haar Highlight 3 >< Umriss,Мелирование волос 3 >< Схема
HairHighlightMiddle4,Hair Highlight 4 ><,Hair Highlight 4 ><,頭髮亮點4><,髪ハイライト4 中央,헤어하이라이트 4 ><,Mèches de cheveux 4 ><,Hajkiemelés 4 ><,Mechas de cabello 4 ><,挑染 4 >< ,Haar Highlight 4 ><,Мелирование волос 4 ><
HairHighlightMiddle4Outline,Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,頭髮亮點 4 >< 輪廓,髪ハイライト4 中央 輪郭,헤어하이라이트 4 >< 개요,Mèches de cheveux 4 >< Aperçu,Hajkiemelés 4 >< Vázlat,Mechas de cabello 4 >< Contorno,挑染 4 >< 轮廓,Haar Highlight 4 >< Umriss,Мелирование волос 4 >< Схема
HairHighlightMiddle5,Hair Highlight 5 ><,Hair Highlight 5 ><,頭髮亮點5><,髪ハイライト5 中央,헤어하이라이트 5 ><,Mèches de cheveux 5 ><,Hajkiemelés 5 ><,Mechas de cabello 5 ><,挑染 5 >< ,Haar Highlight 5 ><,Мелирование волос 5 ><
HairHighlightMiddle5Outline,Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,頭髮亮點 5 >< 輪廓,髪ハイライト5 中央 輪郭,헤어하이라이트 5 >< 개요,Mèches de cheveux 5 >< Aperçu,Hajkiemelés 5 >< Vázlat,Mechas de cabello 5 >< Contorno,挑染 5 >< 轮廓,Haar Highlight 5 >< Umriss,Мелирование волос 5 >< Схема
HairHighlightMiddle6,Hair Highlight 6 ><,Hair Highlight 6 ><,頭髮亮點6><,髪ハイライト6 中央,헤어하이라이트 6 ><,Mèches de cheveux 6 ><,Hajkiemelés 6 ><,Mechas de cabello 6 ><,挑染 6 >< ,Haar Highlight 6 ><,Мелирование волос 6 ><
HairHighlightMiddle6Outline,Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,頭髮亮點 6 >< 輪廓,髪ハイライト6 中央 輪郭,헤어하이라이트 6 >< 개요,Mèches de cheveux 6 >< Aperçu,Hajkiemelés 6 >< Vázlat,Mechas de cabello 6 >< Contorno,挑染 6 >< 轮廓,Haar Highlight 6 >< Umriss,Мелирование волос 6 >< Схема
HairHighlightRight1,Hair Highlight 1 <<,Hair Highlight 1 <<,頭髮亮點 1 <<,髪ハイライト1 <<,헤어 하이라이트 1 <<,Mèches de cheveux 1 <<,Hajkiemelés 1 <<,Mechas de cabello 1 <<,挑染 1 << ,Haar Highlight 1 <<,Мелирование волос 1 <<
HairHighlightRight1Outline,Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,頭髮亮點 1 << 輪廓,髪ハイライト1 輪郭 <<,헤어 하이라이트 1 << 개요,Mèches de cheveux 1 << Aperçu,Hajkiemelés 1 << Vázlat,Mechas de cabello 1 << Contorno,挑染 1 << 轮廓,Haar Highlight 1 << Umriss,Мелирование волос 1 << Схема
HairHighlightRight2,Hair Highlight 2 <<,Hair Highlight 2 <<,頭髮亮點2 <<,髪ハイライト2 <<,헤어 하이라이트 2 <<,Mèches de cheveux 2 <<,Hajkiemelés 2 <<,Mechas de cabello 2 <<,挑染 2 << ,Haar Highlight 2 <<,Мелирование волос 2 <<
HairHighlightRight2Outline,Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,頭髮亮點 2 << 輪廓,髪ハイライト2 輪郭 <<,헤어하이라이트 2 << 개요,Mèches de cheveux 2 << Aperçu,Hajkiemelés 2 << Vázlat,Mechas de cabello 2 << Contorno,挑染 2 << 轮廓,Haar Highlight 2 << Umriss,Мелирование волос 2 << Схема
HairHighlightRight3,Hair Highlight 3 <<,Hair Highlight 3 <<,頭髮亮點 3 <<,髪ハイライト3 <<,헤어 하이라이트 3 <<,Mèches de cheveux 3 <<,Hajkiemelés 3 <<,Mechas de cabello 3 <<,挑染 3 << ,Haar Highlight 3 <<,Мелирование волос 3 <<
HairHighlightRight3Outline,Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,頭髮亮點 3 << 輪廓,髪ハイライト3 輪郭 <<,헤어하이라이트3 << 개요,Mèches de cheveux 3 << Aperçu,Hajkiemelés 3 << Vázlat,Mechas de cabello 3 << Contorno,挑染 3 << 轮廓,Haar Highlight 3 << Umriss,Мелирование волос 3 << Схема
Hairline,Hairline Outline,Hairline Outline,髮際線輪廓,生え際 輪郭,헤어라인 외곽선,Contour des cheveux,Hajvonal vázlat,Contorno de la rayita,发际线 轮廓,Haarlinien Umriss,Контур линии роста волос
HairShine,Hair Shine,Hair Shine,頭髮光澤,髪ツヤ,헤어 샤인,Brillance des cheveux,Hajfény,Brillo del cabello,头发 高光,Haarglanz,Блеск Волос
HairShineOutline,Hair Shine Outline,Hair Shine Outline,頭髮光澤輪廓,髪ツヤ 輪郭,헤어 샤인 개요,Aperçu de la brillance des cheveux,Hajfény vázlat,Contorno del brillo del cabello,头发 高光 轮廓,Haarglanz Umriss,Контур блеска волос
Halo,Halo,Halo,暈,天使の輪,후광,Halo,Halo,Halo,光环,Heiligenschein,Гало
HaloOutline,Halo Outline,Halo Outline,光環輪廓,天使の輪 輪郭,헤일로 개요,Aperçu du halo,Halo Outline,Contorno del halo,光环 轮廓,Heiligenschein Umriss,Гало Контур
Hat,Hat,Hat,帽子,帽子,모자,Chapeau,Kalap,Sombrero,帽子,Hut,Шляпа
HatOutline,Hat Outline,Hat Outline,帽子輪廓,帽子 輪郭,모자 개요,Aperçu du chapeau,Kalap vázlat,Contorno del sombrero,帽子 轮廓,Hut Umriss,Контур шляпы
HatSecondary,Hat Secondary,Hat Secondary,帽子中學,帽子パーツ,모자 보조,Chapeau Secondaire,Kalap másodlagos,Sombrero Secundario,帽子 次要,Hut Sekundär,Шляпа вторичная
HatOutlineSecondary,Hat Secondary Outline,Hat Secondary Outline,帽子次要輪廓,帽子パーツ 輪郭,모자 보조 개요,Contour secondaire du chapeau,Kalap másodlagos vázlat,Contorno del sombrero secundario,帽子 次要 轮廓,Hut Sekundär Umriss,Вторичный контур шляпы
Hammer,Hammer,Hammer,槌,ハンマー,망치,Marteau,Kalapács,Martillo,锤子,Hammer,Молоток
HeadWingLeft,Ear Wing >>,Ear Wing >>,耳翼>>,耳羽 >>,귀 날개 >>,Aile d'oreille >>,Fülszárny >>,Ala de oreja >>,翅膀耳朵 >>,Ohrflügel >>,Ухо Крыло >>
HeadWingLeftOutline,Ear Wing >> Outline,Ear Wing >> Outline,耳翼 >> 摘要,耳羽 輪郭 >>,Ear Wing >> 개요,Aile d'oreille >> Aperçu,Fülszárny >> Vázlat,Ala de oreja >> Contorno,翅膀耳朵 >> 轮廓,Ohrflügel >> Umriss,Ухо Крыло >> Схема
